id,question,syntactic_valid,execution_success,result_match,gold_rows,gen_rows,error
F2.2-000200-P3,How does KRAS Mutation influence response to Refametinib for Colorectal Cancer?,✓,✓,✗,1,0,
F2.2-000159,How does the variant PIK3CA Mutation affect response to Ribociclib in Breast Cancer?,✓,✓,✗,1,0,
F2.2-000159-P2,Does PIK3CA Mutation predict response to Ribociclib in Breast Cancer?,✓,✓,✗,1,0,
F6.3-000117-S1-P3,Show therapies for TOP2A where variants cause resistance in Acute Myelogenous Leukemia.,✓,✓,✓,0,0,
F6.3-000102-P3,Show therapies for ABL1 where variants cause resistance in Chronic Myeloid Leukemia.,✗,✗,✗,13,0,Cypher query must include a RETURN clause
F6.3-000178-P3,Show therapies for KIT where variants cause resistance in Acute Myeloid Leukemia.,✗,✗,✗,1,0,Unknown relationship type: HAS_BIOMARKER
F6.3-000155-P1,Which therapies targeting POLD3 have variant-level resistance in Pancreatic Adenocarcinoma?,✗,✗,✗,0,0,Cypher query must include a RETURN clause
F1.1-000036-P1,Which therapies target TUBA3C?,✓,✓,✗,9,0,
F1.1-000156-P3,What medications are known to target DDR2?,✓,✗,✗,3,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: RETURN can only be used at the end of the query. (line 3, column 1 (offset: 84))
""RETURN DISTINCT g.symbol AS gene_symbol, v.name AS variant_name""
 ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.1-000090-P2,Describe how Ripretinib acts on KIT.,✓,✓,✗,1,0,
F2.1-000095-P1,What is the MOA of Afimoxifene on ESRRG?,✓,✓,✗,1,0,
F5.1-000158-P1,Which biomarkers show evidence in Glioblastoma?,✓,✓,✗,76,0,
F5.1-000175,"In Malignant Anus Melanoma, which biomarkers have evidence?",✓,✓,✗,1,0,
F5.1-000018-P3,What biomarkers have therapy response evidence in B-cell Non-Hodgkin Lymphoma?,✓,✓,✗,2,0,
F6.1-000125-S1-P1,"In Naevocarcinoma, which genes confer resistance to Vemurafenib or Dabrafenib?",✓,✓,✗,46,0,
F6.1-000024-P1,"In Lung Non-small Cell Carcinoma, which genes confer resistance to Ceritinib or ALK Inhibitor TAE684?",✓,✗,✗,5,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'OR': expected ')' or 'WHERE' (line 1, column 80 (offset: 79))
""MATCH (g:Gene), (v:Variant)-[:VARIANT_OF]->(g), (t:Therapy {name: 'Ceritinib'} OR {name: 'TAE684'})""
                                                                                ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F6.1-000014-S1-P2,List resistance genes for Platinum Doublet or Dacomitinib in Non-small Cell Lung Cancer.,✓,✗,✗,2,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'OR': expected ')' or 'WHERE' (line 4, column 45 (offset: 211))
""MATCH (t:Therapy {name: 'platinum doublet'} OR t:Therapy {name: 'dacomitinib'})""
                                             ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F6.1-000049-S1-P1,"In Non-small Cell Lung Carcinoma, which genes confer resistance to Crizotinib or Cabozantinib?",✗,✗,✗,9,0,Cypher query must include a RETURN clause
F6.4-000195-S1,"For resistance to Dasatinib in Myeloid And Lymphoid Neoplasms With Eosinophilia And Abnormalities Of Platelet-derived Growth Factor Receptor Alpha (PDGFRA), Platelet-derived Growth Factor Receptor Beta (PDGFRB), And Fibroblast Growth Factor Receptor-1 (FGFR1) Are A Group Of Hematologic Neoplasms, which therapies target the resistance biomarkers?",✓,✗,✗,0,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '(': expected an identifier or '}' (line 5, column 5 (offset: 167))
""    (variant)-[:VARIANT_OF]->(gene)""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F6.4-000002-P2,Which treatments target resistance biomarkers for Pemetrexed in Lung Non-small Cell Carcinoma?,✓,✓,✗,4,0,
F6.4-000173-S1,"For resistance to MUC1-targeted Peptide GO-203-2C in Non-small Cell Lung Carcinoma, which therapies target the resistance biomarkers?",✓,✗,✗,3,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input ':': expected an expression (line 7, column 17 (offset: 221))
""  AND (variant-[:VARIANT_OF]->(gene))""
                 ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F6.4-000094,"For resistance to Cetuximab in Ovarian Cancer, which therapies target the resistance biomarkers?",✓,✗,✗,3,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'DISTINCT': expected an expression (line 4, column 12 (offset: 149))
""    SELECT DISTINCT g.symbol""
            ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.3-000195,Provide PMIDs supporting that ERBB2 Amplification confers sensitivity to Margetuximab.,✓,✓,✗,1,0,
F2.3-000182-P2,What PubMed IDs support sensitivity of Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor due to KRAS G12C?,✓,✓,✗,1,1,
F2.2-000147-P2,List genes associated with sensitivity to Mocetinostat in Breast Cancer.,✓,✓,✗,1,0,
F2.2-000187-S2-P3,What genes are sensitivity biomarkers for Ponatinib in Acute Myeloblastic Leukaemia?,✗,✗,✗,4,0,Cypher query must include a RETURN clause
F2.2-000019-S1-P3,What genes are sensitivity biomarkers for Pictilisib in Malignant Neoplasm Of Breast?,✓,✗,✗,6,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: A pattern expression should only be used in order to test the existence of a pattern. It should therefore only be used in contexts that evaluate to a boolean, e.g. inside the function exists() or in a WHERE-clause. No other uses are allowed, instead they should be replaced by a pattern comprehension. (line 4, column 5 (offset: 118))
""    (v)-[:VARIANT_OF]->(g)""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000054,Which genes predict sensitivity to RG7112 in Glioblastoma?,✓,✓,✗,1,0,
F2.2-000095,Which genes affect response to Onartuzumab in Gastric Adenocarcinoma?,✗,✗,✗,1,0,Cypher query must include a RETURN clause
F2.2-000134,Which genes affect response to Chemotherapy in Acute Myeloid Leukemia?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '(': expected an identifier or '}' (line 5, column 5 (offset: 157))
""    (gene)-[:VARIANT_OF]->(variant)""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000064-P2,Which genes influence response to MTOR Kinase Inhibitor AZD8055 for Breast Cancer?,✓,✓,✗,1,0,
F2.2-000038-S1-P2,Which genes influence response to Vemurafenib for Childhood Ganglioglioma?,✓,✓,✗,1,0,
F3.3-000140,Which drugs target TOP1 but not TUBA4A?,✓,✗,✗,5,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input ':': expected an expression (line 8, column 20 (offset: 211))
""  MATCH (g2:Gene)-[:TARGETS]->(t)""
                    ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F3.3-000188-P2,List treatments targeting TOP1 and not EPHA3.,✓,✗,✗,5,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Variable `t` not defined (line 6, column 17 (offset: 195))
""RETURN DISTINCT t.name""
                 ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F1.4-000118-P4,Enumerate the variants linked to PDCD1.,✓,✓,✓,0,0,
F1.4-000135,List all known variants of the PARP2 gene.,✓,✓,✓,0,0,
F2.3-000121-P3,Give PMIDs for PRPS1 D183E-mediated resistance to Thioguanine.,✓,✓,✗,1,0,
F2.3-000165-P2,What PMIDs support resistance of Axitinib due to BCR BCR::ABL1 Fusion AND ABL1 F311I?,✓,✓,✗,1,0,
F1.2-000166-P2,List genes that Fedratinib targets.,✓,✓,✗,2,0,
F1.2-000035,Which genes does Decitabine target?,✓,✓,✗,2,0,
F2.2-000112-S1,Which genes predict sensitivity to Fexagratinib in Squamous Cell Carcinoma Of The Cervix Uteri?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: A pattern expression should only be used in order to test the existence of a pattern. It should therefore only be used in contexts that evaluate to a boolean, e.g. inside the function exists() or in a WHERE-clause. No other uses are allowed, instead they should be replaced by a pattern comprehension. (line 3, column 16 (offset: 144))
""  AND coalesce((t)-[:TARGETS]->(g), []) <> []""
                ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F6.2-000056-P1,Which drugs hit TOP1 but not KDR with evidence in Ureter Small Cell Carcinoma?,✓,✓,✗,1,0,
F2.2-000095-P3,How does FLT3 S574Δ influence response to Midostaurin for Acute Myeloid Leukemia?,✓,✗,✗,1,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '(': expected an identifier or '}' (line 7, column 5 (offset: 166))
""    (v)-[:VARIANT_OF]->(g)""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F2.2-000080-P2,Which genes influence response to Imatinib Mesylate for Dermatofibrosarcoma Protuberans?,✗,✗,✗,2,0,Cypher query must include a RETURN clause
F6.4-000148-P3,Find alternative therapies targeting resistance genes for Capivasertib in Prostate Cancer.,✓,✗,✗,0,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '.': expected a graph pattern, a parameter, ')', ':', 'IS', 'WHERE' or '{' (line 4, column 18 (offset: 186))
""  AND EXISTS { (t.name) }""
                  ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F1.2-000189,Which genes does Tarloxotinib target?,✓,✓,✗,4,10,
F6.2-000127,"What therapies target TOP1 but NOT PSMD6, and have biomarker evidence in Ureter Small Cell Carcinoma?",✓,✓,✗,1,0,
F2.2-000090-S2-P2,Does PTEN Loss predict response to Everolimus in Mammary Tumor?,✓,✗,✗,2,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input '(': expected an identifier or '}' (line 6, column 5 (offset: 141))
""    (v)-[:VARIANT_OF]->(g)""
     ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
