id,question,syntactic_valid,execution_success,result_match,gold_rows,gen_rows,error
F4.2-000072-S1-P1,"In Spongioblastoma Multiforme, what therapies target genes causing resistance to Palbociclib?",✓,✗,✗,0,0,"PipelineError: Neo4j execution failed: CypherSyntaxError: {neo4j_code: Neo.ClientError.Statement.SyntaxError} {message: Invalid input 'WHEN': expected an expression, ',', 'AS', 'ORDER BY', 'CALL', 'CREATE', 'LOAD CSV', 'DELETE', 'DETACH', 'FINISH', 'FOREACH', 'INSERT', 'LIMIT', 'MATCH', 'MERGE', 'NODETACH', 'OFFSET', 'OPTIONAL', 'REMOVE', 'RETURN', 'SET', 'SKIP', 'UNION', 'UNWIND', 'USE', 'WITH' or <EOF> (line 35, column 9 (offset: 1421))
""        WHEN size(coalesce(r.ref_sources, [])) > 0 AND size(coalesce(r.ref_sources, [])) = size(coalesce(r.ref_ids, []))""
         ^} {gql_status: 42001} {gql_status_description: error: syntax error or access rule violation - invalid syntax}"
F1.2-000166-P2,List genes that Fedratinib targets.,✓,✓,✓,2,2,
F1.2-000039-P4,What genes does Elacestrant affect?,✓,✓,✗,1,2,
F3.2-000111,What therapies target both HDAC1 and HDAC3?,✓,✓,✗,10,5,
F3.2-000129-P2,List therapies that hit HDAC11 and HDAC4.,✓,✓,✓,6,6,
F6.3-000001-S2-P3,Show therapies for EGFR where variants cause resistance in Non-small Cell Lung Carcinoma.,✓,✓,✗,31,35,
F6.3-000020,Find therapies that target TYMS for variants that cause resistance in Cancer.,✓,✓,✓,1,1,
F6.3-000186-P2,List drugs targeting PDGFRB with resistant variants in Acute Myeloid Leukemia.,✓,✓,✗,0,27,
F6.3-000068-S1-P3,Show therapies for ABL1 where variants cause resistance in Gastrointestinal Stromal Tumour.,✓,✓,✓,0,0,
F2.2-000085,Which genes predict sensitivity to Pexidartinib in Glioblastoma?,✓,✓,✓,1,1,
F2.2-000178,Which genes predict sensitivity to Erlotinib in High Grade Glioma?,✓,✓,✓,1,1,
F2.2-000136-P3,What genes are sensitivity biomarkers for Palbociclib in Cholangiocarcinoma?,✓,✓,✓,1,1,
F2.2-000187-S1-P1,Which genes confer sensitivity to Ponatinib in Acute Myeloblastic Leukemia?,✓,✓,✗,4,0,
F2.4-000097-P1,What consequence does the variant ERBB2 G776INSV_G/C have?,✓,✓,✗,1,1,
F2.4-000121-P3,What is the functional consequence of HRAS G13V?,✓,✓,✗,1,1,
F3.3-000118,Which drugs target TOP1 but not PSMC6?,✓,✓,✓,5,5,
F3.3-000106-P3,Show therapies for TOP1 but not for PSMB3.,✓,✓,✓,5,5,
F2.3-000087,Provide PMIDs supporting that KRAS G12D confers resistance to Sunitinib.,✓,✓,✓,1,1,
F2.3-000082-P2,What PMIDs support resistance of Gefitinib due to SMO Amplification?,✓,✓,✓,1,1,
F2.1-000170-P2,Describe how Ixazomib acts on PSMD3.,✓,✓,✓,1,1,
F2.1-000100-P3,What is Metformin's mechanism against NDUFAB1?,✓,✓,✓,2,2,
F5.1-000120-S1,"In Melanoma Of Eye, which biomarkers have evidence?",✓,✓,✗,1,0,
F5.1-000148-P2,List biomarkers with AFFECTS evidence in Lung Squamous Cell Carcinoma.,✓,✓,✓,12,12,
F5.1-000152-P3,What biomarkers have therapy response evidence in Childhood Pilocytic Astrocytoma?,✓,✓,✗,6,6,
F5.1-000087-P2,List biomarkers with AFFECTS evidence in Medullary Thyroid Carcinoma.,✓,✓,✓,20,20,
F2.3-000036,Provide PMIDs supporting that EGFR Exon 18 deletion confers sensitivity to Gefitinib.,✓,✓,✓,1,1,
F2.3-000183-P2,What PubMed IDs support sensitivity of Erlotinib due to EGFR A750T?,✓,✓,✓,1,1,
F3.1-000060-P2,List drugs for HDAC9 or HGF.,✓,✓,✓,4,4,
F1.1-000152,What drugs target BCL2?,✓,✓,✓,1,1,
F1.1-000187-P1,Which therapies target HTR3A?,✓,✓,✓,1,1,
F2.2-000035-S1,Which genes predict resistance to Aromatase Inhibitor in Mammary Tumor?,✓,✓,✗,2,0,
F2.2-000064-P2,Which genes influence response to MTOR Kinase Inhibitor AZD8055 for Breast Cancer?,✓,✓,✗,1,1,
F2.2-000185-P1,What genes are predictive biomarkers for Uprosertib in Melanoma?,✓,✓,✗,2,2,
F2.2-000091,How does the variant KRAS Mutation affect response to Pembrolizumab in Lung Non-small Cell Carcinoma?,✓,✓,✓,1,1,
F2.2-000040,Which genes affect response to Everolimus in Endometrial Carcinoma?,✓,✓,✗,1,1,
F2.2-000050-S2-P2,List genes associated with resistance to Ipilimumab in Malignant Tumor.,✓,✓,✗,1,0,
F5.1-000164-S1,"In Malignant Melanoma Of Soft Tissues, which biomarkers have evidence?",✓,✓,✗,5,0,
